generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2023,Oahu,339.5,1758,339.5,1758
Oahu_Battery_Bulk,2025,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2030,Oahu,165,660,504.5,2418
Oahu_Battery_Bulk,2035,Oahu,168,672,672.5,3090
Oahu_Battery_Bulk,2040,Oahu,759.5,3438,1092.5,4770
Oahu_Battery_Bulk,2045,Oahu,1690,6760,2617.5,10870
Oahu_Battery_Bulk,2050,Oahu,168,672,2617.5,10870
Oahu_Battery_Conting,2020,Oahu,0,0,0,0
Oahu_Battery_Conting,2023,Oahu,0,0,0,0
Oahu_Battery_Conting,2025,Oahu,0,0,0,0
Oahu_Battery_Conting,2030,Oahu,0,0,0,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Conting,2050,Oahu,0,0,0,0
Oahu_Battery_Reg,2020,Oahu,0,0,0,0
Oahu_Battery_Reg,2023,Oahu,0,0,0,0
Oahu_Battery_Reg,2025,Oahu,0,0,0,0
Oahu_Battery_Reg,2030,Oahu,0,0,0,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
Oahu_Battery_Reg,2050,Oahu,0,0,0,0
Oahu_DistBattery,2020,Oahu,38.097,152.388,38.097,152.388
Oahu_DistBattery,2023,Oahu,0,0,38.097,152.388
Oahu_DistBattery,2025,Oahu,16.505,66.02,54.602,218.408
Oahu_DistBattery,2030,Oahu,22.848,91.392,77.45,309.8
Oahu_DistBattery,2035,Oahu,77.123,308.492,116.476,465.904
Oahu_DistBattery,2040,Oahu,63.56,254.24,163.531,654.124
Oahu_DistBattery,2045,Oahu,72.363,289.452,213.046,852.184
Oahu_DistBattery,2050,Oahu,77.123,308.492,213.046,852.184
