generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2023,Oahu,426.5,1530.99,426.5,1530.99
Oahu_Battery_Bulk,2025,Oahu,172,815,598.5,2345.99
Oahu_Battery_Bulk,2030,Oahu,0,1428.77,598.5,3774.76
Oahu_Battery_Bulk,2035,Oahu,0,648.721,598.5,4423.48
Oahu_Battery_Bulk,2040,Oahu,598.5,2345.99,598.5,4423.48
Oahu_Battery_Bulk,2045,Oahu,291.279,4329.89,889.779,7324.61
Oahu_Battery_Bulk,2050,Oahu,30.4791,0,920.258,6675.88
Oahu_Battery_Conting,2020,Oahu,0,0,0,0
Oahu_Battery_Conting,2023,Oahu,0,0,0,0
Oahu_Battery_Conting,2025,Oahu,0,0,0,0
Oahu_Battery_Conting,2030,Oahu,0,0,0,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Conting,2050,Oahu,0,0,0,0
Oahu_Battery_Reg,2020,Oahu,0,0,0,0
Oahu_Battery_Reg,2023,Oahu,0,0,0,0
Oahu_Battery_Reg,2025,Oahu,0,0,0,0
Oahu_Battery_Reg,2030,Oahu,0,0,0,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
Oahu_Battery_Reg,2050,Oahu,0,0,0,0
Oahu_DistBattery,2020,Oahu,38.097,152.388,38.097,152.388
Oahu_DistBattery,2023,Oahu,25.796,103.184,63.893,255.572
Oahu_DistBattery,2025,Oahu,8.274,33.096,72.167,288.668
Oahu_DistBattery,2030,Oahu,33.387,133.548,105.554,422.216
Oahu_DistBattery,2035,Oahu,82.986,331.944,150.443,601.772
Oahu_DistBattery,2040,Oahu,82.792,331.168,199.165,796.66
Oahu_DistBattery,2045,Oahu,84.51,338.04,250.288,1001.15
Oahu_DistBattery,2050,Oahu,82.986,331.944,250.288,1001.15
